,undp_hdi,ccodealp,ht_region,gle_cgdpc,imf_pop,wef_imort,who_alc2000,who_tobt,wdi_exph
64,0.92400002,DEU,WesternDem,39486.699,80.98300170898438,3.4000000953674316,11.03,30.700001,11.297000885009771
83,0.46599999,CIV,SubSaharian,1354.29,22.52400016784668,76.19999694824219,3.1500001,,5.716273784637451
98,0.71899998,LBY,NorthAfrica,4102.8398,6.265999794006348,13.199999809265142,0.0,,4.968935012817383
58,0.89300001,FIN,WesternDem,36958.211,5.427000045776367,2.4000000953674316,8.8000002,21.799999,9.679908752441406
81,0.898,ISR,NorthAfrica,25926.25,8.211999893188478,3.2999999523162837,2.6199999,30.4,7.808308124542236
172,0.484,TGO,SubSaharian,1036.28,6.928999900817871,,1.4400001,,5.2468767166137695
40,0.58999997,COG,SubSaharian,2369.8401,,,3.8199998999999996,18.5,5.151411533355713
90,0.89899999,KOR,EastAsia,33181.891,50.74700164794922,3.2999999523162837,9.3299999,27.4,7.373112678527832
190,0.76899999,VEN,LatAm,10513.96,,13.100000381469732,6.4699998,,5.256702423095703
38,0.72399998,COL,LatAm,8761.1396,47.6619987487793,15.100000381469732,4.380000099999999,11.6,7.201298713684082
74,0.83399999,HUN,EastEurope,18310.811,9.876999855041504,5.300000190734863,10.88,29.6,7.4007811546325675
111,,MCO,WesternDem,108481.13,,,,,4.337683200836182
105,0.70099998,MDV,SouthAsia,13349.76,0.335999995470047,,1.92,,13.7335205078125
17,0.6709999999999999,BOL,LatAm,4023.8701,10.07800006866455,32.799999237060554,3.6199999,,6.334827423095702
112,0.73299998,MNG,EastAsia,6277.8999,2.881999969482422,23.0,,26.799999,4.730341911315918
187,0.39899999,BFA,SubSaharian,1095.96,16.5,65.80000305175781,4.6399999,19.1,4.960263252258301
24,0.792,BGR,EastEurope,13967.45,7.202000141143799,10.5,12.03,36.799999,8.442913055419924
166,0.54100001,SWZ,SubSaharian,4110.0498,1.105999946594238,55.70000076293945,5.1999998,10.2,9.25193977355957
145,0.76200002,KNA,Caribbean,11237.75,,,8.680000300000001,,5.080365180969238
138,0.84100002,PRT,WesternDem,23744.631,10.40100002288818,2.9000000953674316,9.880000099999998,22.6,9.501075744628906
169,0.55299997,SYR,NorthAfrica,4284.4199,,14.199999809265142,0.75999999,,3.254531145095825
177,0.764,TUR,NorthAfrica,16900.711,77.69599914550781,12.199999809265142,1.45,27.0,5.41495943069458
89,,PRK,EastAsia,1727.8199,,,3.3499999,,
91,0.79900002,KWT,NorthAfrica,64342.710999999996,3.999000072479248,9.5,0.02,,3.042368412017822
102,0.51099998,MDG,SubSaharian,822.62,,40.900001525878906,0.87,,3.041355133056641
141,0.85500002,QAT,NorthAfrica,104049.44,2.045000076293945,6.300000190734862,1.15,,2.18706226348877
0,0.479,AFG,SouthAsia,1282.64,29.82500076293945,,0.0099999998,,8.182273864746094
158,0.88800001,SVN,EastEurope,24456.561,2.0610001087188716,2.5,10.46,20.9,9.23388671875
189,0.69700003,UZB,EastEurope,7370.7202,29.74600028991699,,2.8299999,13.3,5.838521957397461
149,0.565,STP,SubSaharian,2150.55,,,5.6900001,,8.353466033935549
37,,TWN,EastAsia,33965.871,23.43400001525879,3.9345641136169434,,,
75,0.91900003,ISL,WesternDem,31313.609,0.3289999961853027,1.7999999523162842,7.4499998,17.5,8.859166145324707
78,0.77399999,IRN,NorthAfrica,12889.28,75.1500015258789,15.100000381469732,0.029999999,11.7,6.8949222564697275
5,0.78399998,ATG,Caribbean,12257.71,,,8.5600004,,5.5416831970214835
176,0.72299999,TUN,NorthAfrica,6912.2798,,13.800000190734858,1.39,,7.003858089447022
19,0.69800001,BWA,SubSaharian,12770.73,,41.0,5.7600002,,5.412002563476563
52,0.67799997,SLV,LatAm,332.26999,,13.600000381469732,2.52,,6.772402763366699
181,0.74800003,UKR,EastEurope,9326.7197,42.7599983215332,9.199999809265137,8.0600004,30.700001,7.095736026763916
77,0.68599999,IDN,SouthEastAsia,4780.0098,252.1649932861328,25.79999923706055,0.09000000400000001,38.5,2.84686017036438
31,0.64600003,CPV,SubSaharian,3972.6101,0.5120000243186951,18.89999961853027,5.0700002,12.2,4.759696006774902
157,0.67799997,VNM,SouthEastAsia,4147.5698,89.69100189208984,18.39999961853027,4.0900002,23.700001,7.0667781829833975
62,0.76800001,GEO,EastEurope,7148.5698,3.7300000190734863,17.79999923706055,6.130000099999999,30.0,7.416659355163574
114,0.80400002,MNE,EastEurope,14538.52,0.621999979019165,5.5,6.559999900000001,,6.416542530059815
192,0.49900001,YEM,NorthAfrica,2170.9299,,46.29999923706055,0.039999999,,5.636990070343018
137,0.852,POL,EastEurope,19990.939,38.01800155639648,4.300000190734863,10.71,29.4,6.3502464294433585
88,0.55000001,KEN,SubSaharian,1494.63,40.70000076293945,48.70000076293945,1.84,13.6,5.7202911376953125
79,0.64899999,IRQ,NorthAfrica,4178.2598,32.57799911499023,,0.17,,5.538873195648193
136,0.67900002,PHL,SouthEastAsia,3953.1001,100.1490020751953,23.5,4.52,26.700001,4.709985256195068
22,0.514,SLB,Pacific,2113.0601,0.5619999766349792,,0.99000001,,5.05106258392334
130,0.78299999,PLW,Pacific,9392.5996,0.0179999992251396,,,,9.021533012390137
99,0.91100001,LIE,WesternDem,102243.52,,,,,
51,0.73900002,ECU,LatAm,7259.52,15.774999618530268,19.10000038146973,3.8199998999999996,9.0,9.161087989807127
152,0.77499998,SRB,EastEurope,11343.92,7.166999816894531,5.699999809265138,9.090000199999999,42.099998,10.36881160736084
129,,MHL,Pacific,2833.97,0.0540000014007092,,,,17.13572311401367
1,0.76200002,ALB,EastEurope,8516.7002,,15.0,4.5100002,29.700001,5.883105278015138
144,0.493,RWA,SubSaharian,1440.39,10.19999980926514,38.79999923706055,8.3400002,,7.531550884246826
27,0.79799998,BLR,EastEurope,17780.641,9.468000411987305,,13.94,27.9,5.687721729278565
65,0.57499999,GHA,SubSaharian,2584.6001,,48.599998474121094,1.64,6.3000002,3.557291984558107
6,0.75800002,AZE,EastEurope,9793.3096,9.342000007629396,30.79999923706055,2.1400001,23.5,6.036863327026367
72,0.49000001,HTI,LatAm,1024.9399,,56.5,5.6799998,11.8,7.555654048919678
143,0.80500001,RUS,EastEurope,19063.689,143.4290008544922,8.899999618530273,10.12,39.5,7.070408344268799
118,0.63700002,NAM,SubSaharian,4521.29,,28.29999923706055,7.8400002,23.799999,8.928688049316406
142,0.79799998,ROU,EastEurope,14563.14,19.95299911499023,10.69999980926514,9.590000199999999,30.5,5.565009117126465
182,0.74599999,MKD,EastEurope,9610.5996,2.069000005722046,6.5,1.13,,6.476374626159668
67,0.86500001,GRC,WesternDem,25295.27,10.927000045776369,4.099999904632568,7.530000200000001,43.400002,8.084266662597656
42,0.77499998,CRI,LatAm,9485.71,,8.600000381469728,3.45,14.2,9.313112258911133
76,0.61500001,IND,SouthAsia,4256.79,,43.79999923706055,3.0699999,12.4,4.685088157653809
35,0.84500003,CHL,LatAm,15519.08,17.81900024414063,7.800000190734862,7.1599998,38.900002,7.785857677459718
73,0.62300003,HND,LatAm,3303.1399,,19.39999961853027,2.8699999,18.9,8.72268009185791
128,0.63700002,FSM,Pacific,2624.05,0.1019999980926514,,1.58,,13.7069149017334
116,0.414,MOZ,SubSaharian,852.39001,25.73299980163574,63.099998474121094,1.16,18.799999,6.975581645965576
183,0.68800002,EGY,NorthAfrica,5598.2598,86.69999694824219,17.89999961853027,0.20999999,23.799999,5.642115116119385
108,0.51300001,MRT,SubSaharian,2223.01,3.36899995803833,64.80000305175781,0.0099999998,22.299999,3.772699117660523
68,0.75099999,GRD,Caribbean,8314.5596,,,8.4200001,,6.09761381149292
148,,SMR,WesternDem,42664.210999999996,0.034000001847743995,,,,6.1290650367736825
147,0.72000003,VCT,Caribbean,7454.8799,0.1099999994039536,,7.0100002,,8.630239486694336
103,0.47299999,MWI,SubSaharian,938.3499800000001,17.60400009155273,46.0,1.23,16.299999,11.37795639038086
104,0.787,MYS,SouthEastAsia,12284.27,30.70899963378906,7.300000190734862,0.51999998,22.299999,4.169077873229981
95,0.495,LSO,SubSaharian,1539.79,,74.19999694824219,2.3900001,25.4,10.61767673492432
33,0.764,LKA,SouthAsia,5466.8701,20.54100036621094,8.300000190734862,2.3699999,14.1,3.503350019454956
70,0.414,GIN,SubSaharian,993.8300199999999,11.74499988555908,65.19999694824219,0.22,,5.644797801971436
26,0.40599999,BDI,SubSaharian,663.5700099999999,,66.9000015258789,4.1599998,,7.535565376281737
7,0.82599998,ARG,LatAm,15102.61,41.73300170898438,12.699999809265142,7.929999799999999,25.299999,4.785916328430176
47,0.48100001,BEN,SubSaharian,1413.05,10.31999969482422,56.20000076293945,1.4,8.8000002,4.594296455383301
66,0.58600003,KIR,Pacific,1532.65,0.1070000007748604,,0.52999997,54.0,10.21295070648193
28,0.55800003,KHM,SouthEastAsia,1927.0601,14.60499954223633,33.90000152587891,2.1199999,23.0,5.675638675689697
125,0.35100001,NER,SubSaharian,644.53998,,,0.15000001,8.3999996,5.821299076080322
87,0.741,JOR,NorthAfrica,5188.9199,6.675000190734862,16.39999961853027,0.41,38.400002,7.452995777130128
101,0.89600003,LUX,WesternDem,61404.48,0.550000011920929,1.7000000476837158,11.12,24.4,6.937873363494872
159,,SOM,SubSaharian,1436.74,,,0.0,,
115,0.64499998,MAR,NorthAfrica,3999.5601,33.179000854492195,26.79999923706055,0.43000001,22.0,5.907778263092041
175,0.83600003,ARE,NorthAfrica,20310.109,,7.199999809265138,1.91,,3.643985748291016
179,,TUV,Pacific,3174.05,0.0109999999403954,,1.34,,16.5366382598877
25,0.55199999,MMR,SouthEastAsia,5733.3701,51.41899871826172,41.099998474121094,0.69999999,20.0,2.275754690170288
86,0.79299998,KAZ,EastEurope,14098.88,17.42200088500977,16.70000076293945,6.29,26.299999,4.355939865112306
106,0.43799999,MLI,SubSaharian,1063.26,14.854000091552729,79.5999984741211,0.61000001,18.6,6.862166404724121
15,0.89499998,BEL,WesternDem,33764.711,11.18099975585938,3.4000000953674316,12.6,23.9,10.59475135803223
